work_id,doi,ano,primeiro_autor,author_id,genero_primeiro_autor,primeiro_autor_no_brasil,paises_primeiro_autor
W2971105771,10.1111/jbi.13674,2019,Boris Leroy,A5067692197,MASCULINO,False,FR
W2900273915,10.1038/s41467-018-07217-7,2018,André Menegotto,A5011630269,MASCULINO,True,BR
W3188480145,10.1038/s41598-021-94615-5,2021,Manoela C. Brandão,A5062579202,FEMININO,False,FR
W3202182088,10.1016/j.jenvman.2021.113889,2021,Harildon Machado Ferreira,A5055348937,INDEFINIDO,True,BR
W3047726629,10.3389/fmars.2020.00576,2020,Mary Susanne Wisz,A5020703904,FEMININO,False,SE
W2933485448,10.1016/j.marenvres.2019.03.013,2019,Miguel Loiola,A5011112450,MASCULINO,True,BR
W2932774878,10.1038/s41598-018-35670-3,2019,Ellie Bergstrom,A5050875161,INDEFINIDO,True,AU;BR
W2968365691,10.1007/s12526-019-00994-4,2019,Marcelo de Oliveira Soares,A5069983910,MASCULINO,True,BR;ES
W3017212169,10.1016/j.scitotenv.2020.138745,2020,Lidiane Pires Gouvêa,A5090611796,FEMININO,True,BR
W3042839262,10.1093/icesjms/fsaa073,2020,Maurício Cantor,A5007054609,MASCULINO,True,BR;DE;ZA
W2943070001,10.1016/j.quaint.2019.04.022,2019,Thiago Fossile,A5073007751,MASCULINO,True,BR
W3158275932,10.1016/j.marpolbul.2021.112371,2021,Raphael Mariano Macieira,A5073806827,MASCULINO,True,BR
W3049088402,10.1175/jcli-d-19-1016.1,2020,Fabio Boeira Dias,A5033855914,MASCULINO,False,AU;FI
W3086018335,10.3354/meps13486,2020,Françoise Dantas de Lima,A5038991927,FEMININO,True,BR
W4309923797,10.1007/s11356-022-24379-6,2022,Natália Ueda Yamaguchi,A5070755874,FEMININO,True,BR
W3175509920,10.1007/s00227-021-03919-7,2021,Eric F. Mazzei,A5113526897,MASCULINO,True,BR
W3049249716,10.1111/mms.12726,2020,Clarissa R. Teixeira,A5081946731,FEMININO,True,BR;US
W2884684820,10.5194/acp-19-2947-2019,2019,Yue Huang,A5062061039,INDEFINIDO,False,US
W3023187183,10.1016/j.marpolbul.2020.111220,2020,Carlos Mazariegos-Ortíz,A5004247976,MASCULINO,True,BR;GT
W2954205242,10.3389/fmars.2019.00317,2019,J. Emmett Duffy,A5000370285,INDEFINIDO,False,US
W3158531452,10.1016/j.ocecoaman.2021.105662,2021,Santiago Sandoval Gallardo,A5015807418,MASCULINO,False,ES
W2907298333,10.2744/ccb-1348.1,2018,Anders G. J. Rhodin,A5032448717,MASCULINO,False,US
W3033286850,10.1038/s42256-020-0192-3,2020,José Anchieta C. C. Nunes,A5070338541,MASCULINO,False,
