author_id,nome,primeiro_nome,genero,proporcao,prop_feminina_ibge,freq_ibge,motivo,paises,obras
A5085384616,Yafang Cheng,YAFANG,INDEFINIDO,,,0,nome ausente do IBGE,DE,3
A5042024011,Maximilian Dollner,MAXIMILIAN,MASCULINO,1.0000,0.0000,394,IBGE,AT;DE,1
A5054589999,Johannes W. Kaiser,JOHANNES,MASCULINO,1.0000,0.0000,499,IBGE,DE,1
A5018817798,Thomas Klimach,THOMAS,MASCULINO,0.9926,0.0074,13494,IBGE,DE,2
A5059671468,Christoph Knote,CHRISTOPH,MASCULINO,1.0000,0.0000,90,IBGE,DE,1
A5061583085,Ovid Oktavian Krüger,OVID,INDEFINIDO,,,0,nome ausente do IBGE,DE,3
A5008602085,Daniel Fütterer,DANIEL,MASCULINO,0.9932,0.0068,711338,IBGE,DE,2
A5002824499,Nan Ma,NAN,INDEFINIDO,0.5532,0.4468,47,nome ambíguo no IBGE,CN;DE,1
A5054006491,Fernando G. Morais,FERNANDO,MASCULINO,0.9918,0.0082,556346,IBGE,BR,1
A5000652357,Hauke Paulsen,HAUKE,INDEFINIDO,,,0,nome ausente do IBGE,DE,1
A5006738344,Daniel N. Sauer,DANIEL,MASCULINO,0.9932,0.0068,711338,IBGE,DE,2
A5048202110,Hans Schlager,HANS,MASCULINO,1.0000,0.0000,1893,IBGE,DE,1
A5065128410,Johannes Schneider,JOHANNES,MASCULINO,1.0000,0.0000,499,IBGE,DE,1
A5067747711,Bernadett Weinzierl,BERNADETT,INDEFINIDO,,,0,nome ausente do IBGE,AT;DE,1
A5029245681,Adrian Walser,ADRIAN,MASCULINO,0.9401,0.0599,30416,IBGE,AT;DE,2
A5080848343,Manfred Wendisch,MANFRED,MASCULINO,1.0000,0.0000,393,IBGE,DE,2
A5069069843,Helmut Ziereis,HELMUT,MASCULINO,1.0000,0.0000,813,IBGE,DE,1
A5036008616,Martin Zöger,MARTIN,MASCULINO,0.9910,0.0090,5759,IBGE,DE,1
A5054559422,Cinzia Scaggion,CINZIA,FEMININO,1.0000,1.0000,46,IBGE,IT,2
A5077078559,Tommaso Giovanardi,TOMMASO,MASCULINO,1.0000,0.0000,76,IBGE,IT,2
A5074134120,Daniel Loponte,DANIEL,MASCULINO,0.9932,0.0068,711338,IBGE,AR,4
A5000487305,Mirian Carbonera,MIRIAN,FEMININO,0.9960,0.9960,126703,IBGE,BR,4
A5021632841,Elena Armaroli,ELENA,FEMININO,0.9973,0.9973,40101,IBGE,IT,1
A5007902386,Sara Bernardini,SARA,FEMININO,0.9960,0.9960,234286,IBGE,IT,2
A5024472507,Stefano Benazzi,STEFANO,MASCULINO,0.9880,0.0120,2758,IBGE,IT;UZ,2
A5064193029,Andrés Gascue,ANDRES,MASCULINO,0.9397,0.0603,2304,IBGE,UY,2
A5101688869,Alejandro Alberto Acosta,ALEJANDRO,MASCULINO,0.9915,0.0085,4127,IBGE,AR,1
A5062455913,Giulia Marciani,GIULIA,FEMININO,0.9966,0.9966,18742,IBGE,IT,2
A5013253241,Eugenio Bortolini,EUGENIO,MASCULINO,0.9947,0.0053,28538,IBGE,IT,2
A5056920772,Anna Cipriani,ANNA,FEMININO,0.9967,0.9967,55609,IBGE,IT;US,1
A5043260553,Brenda Chung da Rocha,BRENDA,FEMININO,0.9948,0.9948,121251,IBGE,BR,1
A5029057792,Sean Patrick Gaynor,SEAN,MASCULINO,1.0000,0.0000,335,IBGE,CH;US,1
A5048442087,Joshua H.F.L. Davies,JOSHUA,MASCULINO,0.9803,0.0197,1166,IBGE,CA;CH,3
A5008207085,Luana Moreira Florisbal,LUANA,FEMININO,0.9953,0.9953,356300,IBGE,BR,1
A5077316743,Urs Schaltegger,URS,INDEFINIDO,,,0,nome ausente do IBGE,CH,1
A5078685681,Jennifer R. Ovenden,JENNIFER,FEMININO,0.9919,0.9919,26557,IBGE,AU,1
A5034650686,Bruno Alexandre De Franco,BRUNO,MASCULINO,0.9926,0.0074,668217,IBGE,BR,1
