author_id,nome,paises,primeiro_nome,obras,genero_ibge,motivo_ibge,genero_wgnd,motivo_wgnd,genero_wgnd_fallback,motivo_wgnd_fallback,detalhe_wgnd
A5102828908,Ling Huang,CN,LING,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,CN:?0.50/F0.40/M0.10
A5100446991,Yao Zhang,CN,YAO,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,CN:?0.50/F0.24/M0.26
A5007558771,Zheng Duan,SE,ZHENG,1,INDEFINIDO,nome ambíguo no IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,SE:F0.34/M0.66
A5085208799,Bing Jun Yu,CN,BING,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,CN:?0.50/F0.11/M0.39
A5000033522,Shilong Piao,CN,SHILONG,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,CN:?0.50/F0.01/M0.49
A5001590902,Tristan Biard,FR,TRISTAN,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,FR:M1.00
A5090750722,Svenja Christiansen,NO,SVENJA,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ausente na WGND para o país,FEMININO,WGND sem país (fallback),
A5061425808,Laurent Coppola,FR,LAURENT,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,FR:M1.00
A5016085745,Emilie Diamond-Riquier,FR,EMILIE,1,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,FR:F1.00
A5051709891,Xavier Durrieu de Madron,FR,XAVIER,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,FR:M1.00
A5023707130,Dong-gyun Kim,DE,DONG,1,INDEFINIDO,nome ambíguo no IBGE,INDEFINIDO,nome ausente na WGND para o país,MASCULINO,WGND sem país (fallback),
A5005450623,Rachel M. Lekanoff,US,RACHEL,1,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,US:F1.00/M0.00
A5028656002,Claudie Marec,CA,CLAUDIE,1,MASCULINO,IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,CA:F0.25/M0.75
A5038278924,Daniela Niemeyer,DE,DANIELA,1,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,DE:F1.00
A5036648949,Margaux Noyon,ZA,MARGAUX,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ausente na WGND para o país,FEMININO,WGND sem país (fallback),
A5017610278,Stephanie H. O’Daly,US,STEPHANIE,1,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,US:F1.00/M0.00
A5038838462,Jessica L. Pretty,US,JESSICA,1,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,US:F1.00/M0.00
A5058893759,Andreas Rogge,DE,ANDREAS,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,DE:M1.00
A5064323431,Sarah Searson,NZ,SARAH,1,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,NZ:F1.00
A5100697397,Yuji Tanaka,JP,YUJI,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,JP:M1.00
A5007343280,Jan Taucher,DE,JAN,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,DE:M1.00
A5061588356,Emilia Trudnowska,PL,EMILIA,1,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,PL:F1.00
A5103049427,Jessica S. Turner,US,JESSICA,1,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,US:F1.00/M0.00
A5065043472,Enrique Rodrı́guez-Castellón,ES,ENRIQUE,2,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,ES:M1.00
A5032758597,Alice Fabbretto,EE;IT,ALICE,2,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,IT:F1.00
A5065946129,Andrea Pellegrino,IT,ANDREA,2,FEMININO,IBGE,MASCULINO,WGND,MASCULINO,WGND,IT:M1.00
A5037312208,Marcelo J. Dall’Aqua,US,MARCELO,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:M1.00
A5052664403,Eduardo Gildin,US,EDUARDO,3,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:F0.00/M1.00
A5021003220,Yetunde M. Aladeitan,NG,YETUNDE,2,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ausente na WGND para o país,FEMININO,WGND sem país (fallback),
A5002405223,Mohammad J. Tourian,DE,MOHAMMAD,2,MASCULINO,IBGE,INDEFINIDO,nome ausente na WGND para o país,MASCULINO,WGND sem país (fallback),
A5003722754,Peyman Saemian,DE,PEYMAN,2,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ausente na WGND para o país,INDEFINIDO,nome ausente na WGND para o país,
A5063179093,Nico Sneeuw,DE,NICO,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,DE:M1.00
